inputNeurons,outputNeurons,numHiddLayers,numNeurons,learningRate,epochs,r2Score,mse,loss,batchSize,runTime
10,1,4,128,1e-06,200,0.5306228690080589,0.010405470617115498,0.010405470617115498,64,24.030598163604736
10,1,4,128,1e-06,600,0.6153631117643281,0.008526892401278019,0.008526892401278019,64,70.03360295295715
10,1,4,128,1e-06,1000,0.6147342306661313,0.008540833368897438,0.008540833368897438,64,122.42921280860901
10,1,4,128,1e-06,1000,0.6013251982459109,0.00883809570223093,0.00883809570223093,128,78.21424007415771
10,1,4,128,1e-06,1500,0.6092557969562578,0.00866228248924017,0.00866228248924017,128,114.94282007217407
10,1,4,128,1e-06,1500,0.6100492912882636,0.008644692599773407,0.008644692599773407,64,185.2686469554901
10,1,4,128,1e-06,500,0.6120978621512849,0.008599278517067432,0.008599278517067432,64,67.40146112442017
10,1,2,128,1e-06,500,0.6040957213862075,0.008776674047112465,0.008776674047112465,64,57.22194576263428
10,1,1,128,1e-06,500,0.5697608841517434,0.0095378328114748,0.0095378328114748,64,53.79850172996521
10,1,6,128,1e-06,500,0.6106029619125439,0.008632419630885124,0.008632419630885124,64,75.13211798667908
10,1,6,128,1e-06,800,0.611973111149654,0.008602045476436615,0.008602045476436615,64,120.89565682411194
10,1,5,128,1e-06,800,0.6126221671841205,0.008587654680013657,0.008587654680013657,64,111.133229970932
35,1,5,128,1e-06,800,0.5923647065552828,0.009036737494170666,0.009036737494170666,64,109.81029486656189
35,1,4,256,1e-06,400,0.5934891302445215,0.009011810645461082,0.009011810645461082,128,51.885369062423706
35,1,3,256,1e-06,400,0.5593979469033505,0.009767566807568073,0.009767566807568073,256,33.52397108078003
35,1,3,128,1e-06,400,0.5974596341146307,0.008923787623643875,0.008923787623643875,16,141.34259009361267
19,1,3,128,1e-06,400,0.6012804527268938,0.008839086629450321,0.008839086629450321,64,48.56271696090698
19,1,3,128,1e-06,400,0.5671668698642178,0.009595339186489582,0.009595339186489582,128,33.05665993690491
19,1,3,128,1e-06,1000,0.6021690110602533,0.008819387294352055,0.008819387294352055,128,82.05567908287048
19,1,3,512,1e-06,1000,0.6079491960530949,0.008691247552633286,0.008691247552633286,128,272.37041187286377
19,1,4,256,1e-06,500,0.2765902102695489,0.016037041321396828,0.016037041321396828,1024,31.48006510734558
19,1,4,256,1e-06,500,0.18706679336096266,0.018021656200289726,0.018021656200289726,1024,27.111450910568237
19,1,2,128,0.001,100,0.5160293802988378,0.010728989727795124,0.010728989727795124,8,63.27998685836792
18,1,2,64,1e-05,400,0.6127518228871204,0.008584780618548393,0.008584780618548393,8,234.88339591026306
18,1,2,64,0.01,50,0.5918372524967814,0.009048428386449814,0.009048428386449814,8,30.434866905212402
18,1,3,64,1e-06,500,0.5982967133630588,0.008905230090022087,0.008905230090022087,8,305.6829092502594
18,1,3,64,1e-06,500,-2.453038043132454,0.07654930651187897,0.07654930651187897,4096,18.180483102798462
18,1,3,32,1e-06,300,0.05008394220618617,0.02105838619172573,0.02105838619172573,128,20.924023151397705
18,1,2,128,1e-05,300,0.6125957845270853,0.008588241413235664,0.008588241413235664,64,33.1214439868927
18,1,4,128,1e-05,300,0.6164773524967007,0.008502190932631493,0.008502190932631493,64,35.266834020614624
18,1,5,128,1e-05,300,0.6155425864460387,0.008522913791239262,0.008522913791239262,64,37.1030650138855
18,1,4,128,1e-05,300,0.612167245554278,0.008597739972174168,0.008597739972174168,64,34.73548173904419
18,1,4,256,1e-05,300,0.6111462981192151,0.008620373904705048,0.008620373904705048,64,43.62523293495178
18,1,4,128,1e-05,300,0.6123153464380666,0.008594457060098648,0.008594457060098648,128,23.52675223350525
18,1,4,128,1e-05,300,0.611268759497772,0.008617658168077469,0.008617658168077469,32,56.72105002403259
18,1,4,128,1e-05,300,0.61366433823222,0.008564550429582596,0.008564550429582596,64,35.01829409599304
18,1,4,128,1e-06,300,0.5820195768642742,0.009266072884202003,0.009266072884202003,64,35.123632192611694
18,1,4,128,1e-06,600,0.6071721863603124,0.008708473294973373,0.008708473294973373,64,69.7161910533905
18,1,2,128,1e-05,300,0.6157422971539906,0.008518485352396965,0.008518485352396965,16,94.29189682006836
12,1,2,128,1e-05,300,0.6107522596365071,0.00862910971045494,0.00862910971045494,16,93.60333609580994
12,1,4,128,1e-05,300,0.613472551490913,0.008568803779780865,0.008568803779780865,16,105.98575186729431
12,1,3,128,1e-05,300,0.6094386091029005,0.008658232167363167,0.008658232167363167,32,55.13542604446411
12,1,3,128,1e-05,300,0.6117923449992133,0.008606051094830036,0.008606051094830036,64,36.034684896469116
12,1,3,128,1e-05,600,0.6101319521206185,0.008642859756946564,0.008642859756946564,64,68.34861278533936
12,1,3,128,1e-05,600,0.6130196867243958,0.008578844368457794,0.008578844368457794,128,44.172812938690186
12,1,3,128,1e-05,600,0.6127854106996264,0.008584036491811275,0.008584036491811275,256,35.05150890350342
12,1,3,128,1e-05,1000,0.6104929715829076,0.008634855970740318,0.008634855970740318,256,62.47710609436035
12,1,3,128,1e-05,100,0.5517303508253746,0.009937546215951443,0.009937546215951443,256,7.074925899505615
12,1,3,128,1e-05,50,0.6114744532940317,0.008613098412752151,0.008613098412752151,4,62.400227069854736
12,1,3,256,1e-05,50,0.61004234056584,0.008644847199320793,0.008644847199320793,128,6.53997802734375
